Tue Mar 28 00:11:28 2023    ./matching/matching.prof

         475538238 function calls (475538189 primitive calls) in 250.674 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)       
      7/2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
      7/2    0.000    0.000    0.003    0.002 <frozen importlib._bootstrap>:659(_load_unlocked)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:48(create_string_buffer)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
        1    0.000    0.000    0.001    0.001 context.py:1(<module>)
        2    0.000    0.000    0.001    0.000 std.py:1279(close)
        1    0.000    0.000    0.000    0.000 std.py:583(_decr_instances)     
      6/2    0.000    0.000    0.003    0.002 <frozen importlib._bootstrap_external>:844(exec_module)
        7    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)       
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}  
        1    0.000    0.000    0.001    0.001 trueskill_.py:53(save_rating)   
       40    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        1    0.000    0.000    0.001    0.001 synchronize.py:10(<module>)     
       20    0.000    0.000    0.000    0.000 function_base.py:276(_average_dispatcher)
     10/6    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
       40    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       72    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        1    0.000    0.000    0.000    0.000 trueskill_.py:42(__init__)      
        1    0.000    0.000    0.002    0.002 __init__.py:15(<module>)        
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
        2    0.000    0.000    0.000    0.000 __init__.py:399(__getitem__)    
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        1    0.000    0.000    0.004    0.004 std.py:118(create_mp_lock)      
        1    0.000    0.000    0.000    0.000 tempfile.py:138(rng)
        1    0.000    0.000    0.000    0.000 threading.py:802(__init__)      
      5/2    0.000    0.000    0.002    0.001 {built-in method builtins.__import__}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)     
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)     
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
        1    0.000    0.000    0.001    0.001 trueskill_.py:82(printer)       
        2    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFC83F8DC60}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
     13/2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x0000021A459A2EE0}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        1    0.000    0.000    0.004    0.004 std.py:92(__init__)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)       
